iter	Passed	Remaining
0	140	140642
1	141	70673
2	143	47567
3	144	35941
4	145	28954
5	146	24282
6	147	20913
7	148	18392
8	149	16421
9	149	14837
10	150	13567
11	151	12496
12	152	11583
13	153	10804
14	154	10115
15	154	9525
16	155	9000
17	156	8540
18	157	8118
19	157	7735
20	158	7399
21	159	7085
22	160	6797
23	160	6537
24	161	6307
25	162	6089
26	163	5882
27	163	5689
28	164	5515
29	165	5348
30	166	5204
31	167	5076
32	168	4943
33	169	4816
34	170	4711
35	171	4602
36	172	4500
37	173	4393
38	174	4298
39	175	4208
40	176	4118
41	177	4038
42	177	3959
43	178	3883
44	179	3812
45	180	3745
46	181	3682
47	182	3618
48	183	3569
49	184	3508
50	185	3450
51	186	3392
52	186	3337
53	187	3285
54	188	3234
55	188	3185
56	189	3136
57	190	3089
58	191	3049
59	192	3009
60	192	2967
61	193	2927
62	194	2886
63	194	2850
64	195	2814
65	196	2777
66	197	2743
67	197	2709
68	198	2672
69	198	2640
70	199	2608
71	200	2577
72	200	2548
73	201	2519
74	201	2488
75	202	2461
76	203	2434
77	203	2408
78	204	2381
79	204	2356
80	205	2332
81	206	2309
82	207	2290
83	208	2269
84	208	2248
85	209	2226
86	210	2204
87	210	2184
88	211	2163
89	212	2143
90	212	2124
91	213	2104
92	213	2085
93	214	2067
94	215	2048
95	215	2030
96	216	2012
97	216	1995
98	217	1978
99	217	1961
100	218	1945
101	219	1929
102	219	1912
103	220	1896
104	220	1881
105	221	1864
106	221	1850
107	222	1836
108	223	1823
109	223	1807
110	224	1794
111	224	1781
112	225	1768
113	225	1755
114	226	1743
115	227	1730
116	227	1718
117	228	1706
118	228	1694
119	229	1682
120	229	1670
121	230	1658
122	231	1648
123	231	1637
124	232	1626
125	232	1615
126	233	1605
127	234	1594
128	234	1584
129	235	1574
130	235	1565
131	236	1554
132	237	1546
133	238	1538
134	238	1530
135	239	1521
136	240	1513
137	240	1504
138	241	1495
139	242	1487
140	242	1478
141	243	1470
142	244	1462
143	244	1454
144	245	1446
145	246	1439
146	246	1430
147	247	1423
148	247	1416
149	248	1408
150	249	1400
151	249	1393
152	250	1386
153	251	1379
154	251	1372
155	252	1364
156	252	1358
157	253	1352
158	254	1345
159	255	1338
160	255	1332
161	256	1325
162	256	1319
163	257	1313
164	258	1306
165	258	1300
166	259	1294
167	260	1288
168	260	1281
169	261	1276
170	262	1270
171	262	1264
172	263	1259
173	264	1253
174	264	1247
175	265	1242
176	265	1236
177	266	1230
178	267	1225
179	267	1220
180	268	1215
181	269	1210
182	269	1204
183	270	1199
184	271	1194
185	271	1188
186	272	1183
187	272	1178
188	273	1173
189	274	1168
190	274	1163
191	275	1158
192	275	1153
193	276	1148
194	277	1143
195	277	1139
196	278	1134
197	278	1129
198	279	1125
199	280	1121
200	280	1116
201	281	1111
202	281	1107
203	282	1102
204	283	1098
205	283	1093
206	284	1089
207	285	1085
208	285	1081
209	286	1076
210	287	1073
211	287	1069
212	288	1065
213	288	1060
214	289	1056
215	290	1052
216	290	1048
217	291	1044
218	291	1040
219	292	1036
220	293	1032
221	293	1029
222	294	1025
223	294	1021
224	295	1017
225	296	1014
226	296	1010
227	297	1006
228	297	1002
229	298	999
230	299	995
231	299	992
232	300	988
233	300	985
234	301	981
235	302	977
236	302	974
237	303	970
238	303	967
239	304	963
240	304	960
241	305	957
242	306	953
243	306	950
244	307	947
245	308	944
246	308	940
247	309	937
248	309	934
249	310	931
250	311	928
251	311	925
252	312	922
253	312	918
254	313	915
255	314	912
256	314	910
257	315	907
258	316	904
259	316	901
260	317	898
261	318	896
262	318	893
263	319	890
264	320	887
265	320	884
266	321	881
267	321	879
268	322	876
269	323	873
270	323	871
271	324	868
272	325	865
273	325	863
274	326	860
275	326	857
276	327	854
277	328	851
278	328	849
279	329	847
280	330	845
281	330	842
282	331	840
283	332	838
284	333	835
285	333	832
286	334	830
287	334	827
288	335	825
289	336	823
290	336	820
291	337	818
292	338	816
293	339	814
294	339	812
295	340	809
296	340	807
297	341	804
298	342	802
299	342	799
300	343	797
301	344	795
302	345	793
303	345	791
304	346	789
305	347	787
306	347	784
307	348	782
308	348	780
309	349	778
310	350	775
311	350	773
312	351	771
313	352	769
314	352	766
315	353	764
316	353	762
317	354	760
318	355	758
319	355	755
320	356	753
321	357	751
322	357	749
323	358	747
324	358	745
325	359	743
326	360	741
327	360	739
328	361	737
329	361	734
330	362	732
331	363	730
332	363	728
333	364	726
334	364	724
335	365	722
336	366	720
337	367	719
338	367	717
339	368	715
340	369	713
341	369	711
342	370	709
343	371	707
344	371	705
345	372	703
346	373	702
347	373	700
348	374	698
349	375	696
350	375	694
351	376	693
352	377	691
353	377	689
354	378	687
355	379	685
356	379	683
357	380	682
358	381	680
359	381	679
360	382	677
361	383	675
362	384	674
363	385	672
364	385	671
365	386	669
366	387	667
367	387	666
368	388	664
369	389	662
370	389	661
371	390	659
372	391	657
373	391	656
374	392	654
375	393	652
376	393	650
377	394	648
378	395	647
379	395	645
380	396	643
381	396	642
382	397	640
383	398	638
384	398	636
385	399	635
386	399	633
387	400	631
388	401	630
389	401	628
390	402	626
391	402	624
392	403	623
393	404	621
394	404	619
395	405	618
396	405	616
397	406	614
398	407	613
399	407	611
400	408	609
401	408	608
402	409	606
403	410	605
404	410	603
405	411	601
406	411	600
407	412	598
408	413	597
409	413	595
410	414	593
411	414	592
412	415	590
413	416	589
414	416	587
415	417	586
416	418	584
417	418	582
418	419	581
419	419	579
420	420	578
421	420	576
422	421	575
423	422	573
424	422	571
425	423	570
426	423	568
427	424	567
428	425	565
429	425	564
430	426	562
431	426	561
432	427	559
433	428	558
434	428	556
435	429	555
436	429	553
437	430	552
438	431	550
439	431	549
440	432	548
441	433	546
442	433	545
443	434	544
444	435	542
445	435	541
446	436	539
447	437	538
448	437	537
449	438	535
450	439	534
451	439	533
452	440	531
453	441	530
454	441	529
455	442	527
456	443	526
457	443	525
458	444	523
459	444	522
460	445	520
461	446	519
462	446	518
463	447	516
464	447	515
465	448	513
466	449	512
467	449	511
468	450	509
469	451	508
470	451	507
471	452	505
472	452	504
473	453	503
474	454	502
475	454	500
476	455	499
477	456	498
478	456	496
479	457	495
480	457	494
481	458	492
482	459	491
483	459	490
484	460	488
485	461	487
486	461	486
487	462	484
488	462	483
489	463	482
490	464	481
491	464	479
492	465	478
493	465	477
494	466	475
495	467	474
496	467	473
497	468	472
498	469	470
499	469	469
500	470	468
501	470	466
502	471	465
503	471	464
504	472	463
505	473	462
506	474	460
507	474	459
508	475	458
509	476	457
510	476	456
511	477	454
512	477	453
513	478	452
514	479	451
515	479	449
516	480	448
517	480	447
518	481	446
519	482	445
