iter	Passed	Remaining
0	142	142826
1	143	71804
2	144	48066
3	145	36188
4	145	29049
5	146	24263
6	147	20865
7	148	18354
8	148	16381
9	149	14799
10	150	13497
11	150	12402
12	151	11494
13	151	10700
14	152	10015
15	153	9428
16	154	8908
17	155	8465
18	155	8049
19	156	7675
20	157	7344
21	158	7031
22	158	6743
23	159	6493
24	160	6250
25	160	6027
26	161	5825
27	162	5638
28	163	5462
29	163	5294
30	164	5143
31	165	5001
32	166	4870
33	166	4743
34	168	4632
35	168	4519
36	169	4407
37	169	4302
38	170	4202
39	171	4106
40	171	4020
41	172	3937
42	173	3859
43	174	3782
44	174	3707
45	175	3635
46	175	3567
47	176	3502
48	177	3445
49	178	3384
50	178	3326
51	179	3269
52	179	3215
53	180	3164
54	181	3115
55	182	3068
56	182	3023
57	183	2978
58	184	2937
59	184	2896
60	185	2856
61	186	2817
62	186	2780
63	187	2743
64	188	2709
65	189	2675
66	189	2640
67	190	2608
68	190	2576
69	191	2544
70	192	2515
71	193	2487
72	193	2460
73	194	2434
74	195	2408
75	196	2389
76	197	2363
77	197	2339
78	198	2315
79	199	2290
80	199	2267
81	200	2244
82	200	2218
83	201	2197
84	202	2175
85	202	2155
86	203	2135
87	204	2115
88	204	2096
89	205	2077
90	206	2058
91	206	2041
92	207	2022
93	207	2004
94	208	1987
95	209	1969
96	209	1953
97	210	1937
98	211	1920
99	211	1905
100	212	1890
101	213	1875
102	213	1861
103	214	1847
104	215	1835
105	216	1823
106	216	1809
107	217	1796
108	218	1782
109	218	1769
110	219	1757
111	220	1745
112	220	1732
113	221	1720
114	222	1710
115	223	1699
116	223	1688
117	224	1677
118	225	1665
119	225	1655
120	226	1645
121	227	1634
122	227	1625
123	228	1615
124	229	1605
125	230	1596
126	230	1586
127	231	1576
128	232	1567
129	232	1557
130	233	1550
131	234	1542
132	235	1533
133	235	1524
134	236	1516
135	237	1507
136	237	1498
137	238	1490
138	239	1481
139	239	1473
140	240	1465
141	240	1455
